Date,Open,High,Low,Close,Volume,Adj Close
3/29/2012,9.63,9.68,9.43,9.53,253625800,9.114714
3/30/2012,9.61,9.64,9.35,9.57,250234500,9.152971
4/2/2012,9.54,9.78,9.41,9.68,179229000,9.258178
4/3/2012,9.67,9.67,9.41,9.49,190453400,9.076457
4/4/2012,9.35,9.36,9.15,9.2,228560600,8.799095
4/5/2012,9.14,9.4,9.11,9.23,180868100,8.827787
4/9/2012,9.04,9.04,8.83,8.93,211427600,8.540861
4/10/2012,8.97,9.09,8.5,8.54,377220000,8.167855
4/11/2012,8.78,8.91,8.72,8.86,252563700,8.47391
4/12/2012,8.93,9.18,8.91,9.17,223979900,8.770402
4/13/2012,9.08,9.08,8.68,8.68,282354600,8.301755
4/16/2012,8.87,8.93,8.62,8.79,217284500,8.406961
4/17/2012,8.97,9,8.87,8.92,193424400,8.531296
4/18/2012,8.88,9,8.84,8.92,160064100,8.531296
4/19/2012,9.16,9.17,8.67,8.77,348804500,8.387833
4/20/2012,8.78,8.78,8.33,8.36,277965300,7.995699
4/23/2012,8.02,8.3,7.95,8.18,256073900,7.823543
4/24/2012,8.25,8.27,8.1,8.21,192443800,7.852236
4/25/2012,8.3,8.35,8.17,8.26,164902400,7.900057
4/26/2012,8.19,8.4,8.17,8.27,131586300,7.909621
4/27/2012,8.34,8.34,8.19,8.25,120948200,7.890493
4/30/2012,8.22,8.24,8.04,8.11,137422300,7.756593
5/1/2012,8.11,8.4,8.08,8.31,177953400,7.947878
5/2/2012,8.21,8.23,8.12,8.16,136208900,7.804414
5/3/2012,8.18,8.18,7.91,8,204584500,7.651387
5/4/2012,7.9,7.92,7.7,7.74,194857200,7.402716
5/7/2012,7.71,8,7.66,7.96,167662600,7.61313
5/8/2012,7.87,7.9,7.69,7.79,180627900,7.450538
5/9/2012,7.67,7.82,7.65,7.73,174742300,7.393152
5/10/2012,7.91,7.94,7.67,7.7,156787300,7.36446
5/11/2012,7.48,7.77,7.41,7.55,245533600,7.220996
5/14/2012,7.37,7.52,7.35,7.35,170716800,7.029711
5/15/2012,7.37,7.55,7.25,7.3,201254900,6.981891
5/16/2012,7.4,7.47,7.08,7.11,216226100,6.80017
5/17/2012,7.1,7.25,6.93,6.98,241468300,6.675835
5/18/2012,7.01,7.03,6.89,7.02,223783500,6.714092
5/21/2012,7.03,7.11,6.72,6.83,229980800,6.532371
5/22/2012,6.92,7.15,6.86,6.98,221551500,6.675835
5/23/2012,6.9,7.17,6.85,7.17,194441500,6.857555
5/24/2012,7.26,7.33,7.01,7.14,206041500,6.828863
5/25/2012,7.07,7.25,7.07,7.15,108661200,6.838427
5/29/2012,7.28,7.45,7.22,7.44,159872200,7.11579
5/30/2012,7.33,7.41,7.1,7.2,206801500,6.895516
5/31/2012,7.21,7.37,7.04,7.35,203267300,7.039173
6/1/2012,7.12,7.19,6.94,7.02,240859000,6.723128
6/4/2012,7.1,7.1,6.85,6.9,163821500,6.608203
6/5/2012,6.91,7.14,6.9,7.1,147346700,6.799745
6/6/2012,7.24,7.77,7.18,7.64,356852900,7.316909
6/7/2012,7.81,7.9,7.38,7.42,276170400,7.106212
6/8/2012,7.35,7.58,7.2,7.56,234555000,7.240292
6/11/2012,7.72,7.77,7.28,7.28,204590700,6.972133
6/12/2012,7.32,7.5,7.22,7.49,148255600,7.173252
6/13/2012,7.4,7.61,7.35,7.5,162374500,7.182829
6/14/2012,7.52,7.69,7.45,7.66,157528300,7.336063
6/15/2012,7.72,7.9,7.55,7.9,211751900,7.565914
6/18/2012,7.77,7.91,7.73,7.76,140319900,7.431834
6/19/2012,7.88,8.21,7.86,8.11,248771500,7.767032
6/20/2012,8.16,8.22,8.02,8.14,213582800,7.795764
6/21/2012,8.11,8.17,7.8,7.82,227157600,7.489297
6/22/2012,7.97,8.01,7.79,7.94,142219300,7.604222
6/25/2012,7.74,7.74,7.56,7.6,151907200,7.2786
6/26/2012,7.65,7.68,7.48,7.62,129776500,7.297754
6/27/2012,7.68,7.82,7.61,7.77,111335500,7.441411
6/28/2012,7.62,7.75,7.53,7.74,133125300,7.41268
6/29/2012,8,8.2,7.95,8.18,258769800,7.834073
7/2/2012,8.2,8.21,7.87,8.05,152974000,7.70957
7/3/2012,8.06,8.12,8.01,8.06,57653700,7.719148
7/5/2012,8.03,8.06,7.82,7.82,120162000,7.489297
7/6/2012,7.69,7.8,7.65,7.66,116595200,7.336063
7/9/2012,7.63,7.7,7.53,7.56,87078300,7.240292
7/10/2012,7.65,7.67,7.4,7.48,101758300,7.163675
7/11/2012,7.49,7.69,7.45,7.63,128619400,7.307332
7/12/2012,7.53,7.55,7.43,7.48,107637000,7.163675
7/13/2012,7.56,7.83,7.55,7.82,177154500,7.489297
7/16/2012,7.93,7.96,7.77,7.81,109439900,7.479719
7/17/2012,7.92,7.93,7.75,7.92,127266800,7.585068
7/18/2012,7.88,7.93,7.5,7.53,254341100,7.211561
7/19/2012,7.56,7.65,7.12,7.26,260959200,6.952979
7/20/2012,7.21,7.21,7.06,7.07,160463000,6.771014
7/23/2012,6.94,7.15,6.9,7.09,168638000,6.790168
7/24/2012,7.16,7.18,6.97,7.04,138286700,6.742282
7/25/2012,7.11,7.16,7.01,7.07,117241300,6.771014
7/26/2012,7.22,7.24,7.11,7.17,121121500,6.866785
7/27/2012,7.2,7.4,7.14,7.31,146210900,7.000864
7/30/2012,7.28,7.38,7.26,7.28,74683800,6.972133
7/31/2012,7.28,7.34,7.21,7.34,86093200,7.029596
8/1/2012,7.35,7.36,7.21,7.22,97187800,6.91467
8/2/2012,7.12,7.26,7.1,7.18,112848000,6.876362
8/3/2012,7.3,7.49,7.27,7.43,130250800,7.115789
8/6/2012,7.45,7.68,7.44,7.64,112657000,7.316909
8/7/2012,7.71,7.85,7.66,7.67,119572200,7.34564
8/8/2012,7.58,7.77,7.57,7.67,73353500,7.34564
8/9/2012,7.68,7.76,7.67,7.72,59676500,7.393525
8/10/2012,7.66,7.76,7.63,7.74,50443800,7.41268
8/13/2012,7.72,7.83,7.68,7.72,58341300,7.393525
8/14/2012,7.78,7.9,7.74,7.78,104644000,7.450988
8/15/2012,7.75,7.87,7.73,7.87,73559200,7.537182
8/16/2012,7.89,7.96,7.83,7.93,78181200,7.594645
8/17/2012,7.97,8.12,7.94,8,138307600,7.661685
8/20/2012,7.98,8.19,7.98,8.15,100276900,7.805341
8/21/2012,8.25,8.4,8.16,8.19,190820700,7.843649
8/22/2012,8.14,8.32,8.12,8.22,140333800,7.872381
8/23/2012,8.22,8.27,8.12,8.15,98866200,7.805341
8/24/2012,8.12,8.21,8.03,8.16,88822200,7.814918
8/27/2012,8.2,8.2,8.05,8.07,96142100,7.728724
8/28/2012,8.04,8.11,7.95,7.96,96280400,7.623376
8/29/2012,7.98,8.1,7.98,8,106910900,7.661685
8/30/2012,7.95,7.95,7.83,7.91,91900100,7.57549
8/31/2012,8,8.02,7.88,7.99,91730500,7.652107
9/4/2012,8,8.11,7.95,8,81461800,7.661685
9/5/2012,7.99,8.02,7.93,7.95,55769500,7.623328
9/6/2012,8.04,8.35,8.03,8.35,200570300,8.006892
9/7/2012,8.47,8.8,8.45,8.8,232843000,8.438401
9/10/2012,8.84,8.92,8.53,8.58,190045600,8.227441
9/11/2012,8.63,9.05,8.58,9.03,201630400,8.65895
9/12/2012,9.15,9.19,8.87,8.97,204167100,8.601416
9/13/2012,8.89,9.48,8.81,9.4,330759200,9.013746
9/14/2012,9.6,9.79,9.45,9.55,329619800,9.157583
9/17/2012,9.39,9.49,9.27,9.3,141409300,8.917856
9/18/2012,9.16,9.29,9.09,9.23,150503600,8.850732
9/19/2012,9.33,9.46,9.26,9.29,126360100,8.908267
9/20/2012,9.14,9.25,9.08,9.19,111354300,8.812375
9/21/2012,9.35,9.35,9.08,9.11,155865300,8.735663
9/24/2012,8.99,9.2,8.95,9.1,113331700,8.726074
9/25/2012,9.17,9.21,8.91,8.93,146678000,8.56306
9/26/2012,8.86,8.91,8.7,8.82,158640100,8.457579
9/27/2012,8.94,9.07,8.9,8.97,119023800,8.601416
9/28/2012,8.89,8.93,8.79,8.83,119039200,8.467168
10/1/2012,8.87,9.13,8.85,8.96,133194500,8.591827
10/2/2012,9.1,9.11,8.88,8.93,109601600,8.56306
10/3/2012,8.98,9.12,8.91,9.11,115670100,8.735663
10/4/2012,9.2,9.42,9.15,9.41,160486300,9.023336
